1/5 tests.test_0...OK
2/5 transformer.test.perf whole MiMo interleaved decode...[expert-exl3] engaged K=2.5 codebook=tiny window=12
[expert-exl3] engaged K=2.5 codebook=tiny window=12
[mimo-source] loading original shards: resident EXL3 experts, in-memory affine8 trunk and split QKV
Precomputing MoE layer weights...
Batch eval all weights: 0ms
MoE routing compiled (hy3 sigmoid variant)
[perf-model] loaded corrected EXL3 ctx=8192 kv=8 mtp=false
[dtype-trace] moe: residual in = bfloat16, first weight = uint32
[mlp] fused SwiGLU kernel engaged: n=16777216 tg=256
[moe] fused router kernel engaged: mode=sigmoid_bias E=256 K=8 tg=256
[exl3-prefill] GPU window metadata engaged experts=256 win=32
[exl3-gemm] win=32 aligned=1 nwin=512 mixed=0 n=8192
[exl3-gemm] n40 two-funnel reader engaged dtype=float16
[exl3-prefill] sorted finish/reduce engaged dtype=bfloat16
[dtype-trace] moe: residual out = bfloat16
[exl3-decode] n40 eight-weight lane reader engaged dtype=bfloat16
[exl3-decode] n40 eight-weight lane reader engaged dtype=bfloat16
[exl3-decode] prepared mid engaged dtype=bfloat16 middle=f16 after down-input Hadamard
[perf-width] rows=3 round=0 rep=20 arm=1 ns=64241375
[perf-width] rows=3 round=1 rep=21 arm=1 ns=64378958
[perf-width] rows=3 round=1 rep=21 arm=0 ns=68043083
[perf-width] rows=3 round=1 rep=22 arm=0 ns=68051708
[perf-width] rows=3 round=1 rep=22 arm=1 ns=64927084
[perf-width] rows=3 round=1 rep=23 arm=1 ns=64084625
[perf-width] rows=3 round=1 rep=23 arm=0 ns=68046875
[perf-width] rows=3 round=1 rep=24 arm=0 ns=68209958
[perf-width] rows=3 round=1 rep=24 arm=1 ns=64269333
[perf-width] rows=3 round=1 rep=25 arm=1 ns=64095875
[perf-width] rows=3 round=1 rep=25 arm=0 ns=68025416
[perf-width] rows=3 round=1 rep=26 arm=0 ns=68056750
[perf-width] rows=3 round=1 rep=26 arm=1 ns=64272416
[perf-width] rows=3 round=1 rep=27 arm=1 ns=64097125
[perf-width] rows=3 round=1 rep=27 arm=0 ns=68144125
[perf-width] rows=3 round=1 rep=28 arm=0 ns=67966709
[perf-width] rows=3 round=1 rep=28 arm=1 ns=64212083
[perf-width] rows=3 round=1 rep=29 arm=1 ns=74995708
[perf-width] rows=3 round=1 rep=29 arm=0 ns=80950458
[perf-width] rows=3 round=2 rep=30 arm=0 ns=70059875
[perf-width] rows=3 round=2 rep=30 arm=1 ns=64620542
[perf-width] rows=3 round=2 rep=31 arm=1 ns=64385083
[perf-width] rows=3 round=2 rep=31 arm=0 ns=68392083
[perf-width] rows=3 round=2 rep=32 arm=0 ns=68345125
[perf-width] rows=3 round=2 rep=32 arm=1 ns=64359875
[perf-width] rows=3 round=2 rep=33 arm=1 ns=64347959
[perf-width] rows=3 round=2 rep=33 arm=0 ns=68255958
[perf-width] rows=3 round=2 rep=34 arm=0 ns=68020583
[perf-width] rows=3 round=2 rep=34 arm=1 ns=64190333
[perf-width] rows=3 round=2 rep=35 arm=1 ns=63163542
[perf-width] rows=3 round=2 rep=35 arm=0 ns=67983375
[perf-width] rows=3 round=2 rep=36 arm=0 ns=68009208
[perf-width] rows=3 round=2 rep=36 arm=1 ns=64282417
[perf-width] rows=3 round=2 rep=37 arm=1 ns=65254167
[perf-width] rows=3 round=2 rep=37 arm=0 ns=66804083
[perf-width] rows=3 round=2 rep=38 arm=0 ns=68032459
[perf-width] rows=3 round=2 rep=38 arm=1 ns=64191041
[perf-width] rows=3 identical argmax at fixed kv=1024
[perf-width] rows=4 round=0 rep=12 arm=0 ns=85067875
[perf-width] rows=4 round=0 rep=12 arm=1 ns=80255833
[perf-width] rows=4 round=0 rep=13 arm=1 ns=80220250
[perf-width] rows=4 round=0 rep=13 arm=0 ns=85487375
[perf-width] rows=4 round=0 rep=14 arm=0 ns=85139709
[perf-width] rows=4 round=0 rep=14 arm=1 ns=80693250
[perf-width] rows=4 round=0 rep=15 arm=1 ns=80048291
[perf-width] rows=4 round=0 rep=15 arm=0 ns=85270125
[perf-width] rows=4 round=0 rep=16 arm=0 ns=85378208
[perf-width] rows=4 round=0 rep=16 arm=1 ns=81586875
[perf-width] rows=4 round=0 rep=17 arm=1 ns=80138416
[perf-width] rows=4 round=0 rep=17 arm=0 ns=85539500
[perf-width] rows=4 round=0 rep=18 arm=0 ns=85283250
[perf-width] rows=4 round=0 rep=18 arm=1 ns=80402417
[perf-width] rows=4 round=0 rep=19 arm=1 ns=80172834
[perf-width] rows=4 round=0 rep=19 arm=0 ns=85522000
[perf-width] rows=4 round=0 rep=20 arm=0 ns=84988167
[perf-width] rows=4 round=0 rep=20 arm=1 ns=81304167
[perf-width] rows=4 round=1 rep=21 arm=1 ns=79972375
[perf-width] rows=4 round=1 rep=21 arm=0 ns=85303209
[perf-width] rows=4 round=1 rep=22 arm=0 ns=85177791
[perf-width] rows=4 round=1 rep=22 arm=1 ns=84268500
[perf-width] rows=4 round=1 rep=23 arm=1 ns=80147916
[perf-width] rows=4 round=1 rep=23 arm=0 ns=85657459
[perf-width] rows=4 round=1 rep=24 arm=0 ns=85603333
[perf-width] rows=4 round=1 rep=24 arm=1 ns=79908333
[perf-width] rows=4 round=1 rep=25 arm=1 ns=78738208
[perf-width] rows=4 round=1 rep=25 arm=0 ns=85258792
[perf-width] rows=4 round=1 rep=26 arm=0 ns=85065667
[perf-width] rows=4 round=1 rep=26 arm=1 ns=81754875
[perf-width] rows=4 round=1 rep=27 arm=1 ns=80382375
[perf-width] rows=4 round=1 rep=27 arm=0 ns=85224958
[perf-width] rows=4 round=1 rep=28 arm=0 ns=85968792
[perf-width] rows=4 round=1 rep=28 arm=1 ns=79872750
[perf-width] rows=4 round=1 rep=29 arm=1 ns=80107792
[perf-width] rows=4 round=1 rep=29 arm=0 ns=85476541
[perf-width] rows=4 round=2 rep=30 arm=0 ns=85390750
[perf-width] rows=4 round=2 rep=30 arm=1 ns=80207125
[perf-width] rows=4 round=2 rep=31 arm=1 ns=80186833
[perf-width] rows=4 round=2 rep=31 arm=0 ns=85423625
[perf-width] rows=4 round=2 rep=32 arm=0 ns=85216125
[perf-width] rows=4 round=2 rep=32 arm=1 ns=81653458
[perf-width] rows=4 round=2 rep=33 arm=1 ns=80305125
[perf-width] rows=4 round=2 rep=33 arm=0 ns=88428875
[perf-width] rows=4 round=2 rep=34 arm=0 ns=85421542
[perf-width] rows=4 round=2 rep=34 arm=1 ns=78984250
[perf-width] rows=4 round=2 rep=35 arm=1 ns=80319875
[perf-width] rows=4 round=2 rep=35 arm=0 ns=85342500
[perf-width] rows=4 round=2 rep=36 arm=0 ns=85503292
[perf-width] rows=4 round=2 rep=36 arm=1 ns=79993750
[perf-width] rows=4 round=2 rep=37 arm=1 ns=80183000
[perf-width] rows=4 round=2 rep=37 arm=0 ns=85208125
[perf-width] rows=4 round=2 rep=38 arm=0 ns=85077959
[perf-width] rows=4 round=2 rep=38 arm=1 ns=81251416
[perf-width] rows=4 identical argmax at fixed kv=1024
[perf-width] rows=5 round=0 rep=12 arm=0 ns=102931750
[perf-width] rows=5 round=0 rep=12 arm=1 ns=95790000
[perf-width] rows=5 round=0 rep=13 arm=1 ns=95778666
[perf-width] rows=5 round=0 rep=13 arm=0 ns=102584416
[perf-width] rows=5 round=0 rep=14 arm=0 ns=102771334
[perf-width] rows=5 round=0 rep=14 arm=1 ns=94895792
[perf-width] rows=5 round=0 rep=15 arm=1 ns=95417583
[perf-width] rows=5 round=0 rep=15 arm=0 ns=103047709
[perf-width] rows=5 round=0 rep=16 arm=0 ns=101164625
[perf-width] rows=5 round=0 rep=16 arm=1 ns=96140750
[perf-width] rows=5 round=0 rep=17 arm=1 ns=96428208
[perf-width] rows=5 round=0 rep=17 arm=0 ns=103199916
[perf-width] rows=5 round=0 rep=18 arm=0 ns=101885541
[perf-width] rows=5 round=0 rep=18 arm=1 ns=96465209
[perf-width] rows=5 round=0 rep=19 arm=1 ns=95960875
[perf-width] rows=5 round=0 rep=19 arm=0 ns=102558083
